#	声音资源配置表				
#	Id		AssetId	SoundGroupId	SoundPlayParamId
#	int		int	int	int
#	声音编号	策划备注	资源ID名称	声音组名称	声音播放参数
	10001	游戏背景音乐	10001	1001	1001
	10002	主菜单背景音乐	10002	1001	1001
	20001	Enemy Fire	20001	1003	1003
	20002	Macross Placement	20002	1003	1003
	20003	Weapon Placement 1	20003	1003	1003
	20004	Weapon Placement 2	20004	1003	1003
	21001	base_attack	21001	1003	1003
	21002	zone_enter	21002	1003	1003
	22001	Enemies Exploding 1	22001	1003	1003
	22002	Enemies Exploding 2	22002	1003	1003
	22003	Enemies Exploding 3	22003	1003	1003
	22004	Enemies Exploding 4	22004	1003	1003
	22005	Enemies Exploding 5	22005	1003	1003
	23001	Destruction 1	23001	1003	1003
	23002	Destruction 2	23002	1003	1003
	23003	Destruction 3	23002	1003	1003
	23004	Destruction 4	23002	1003	1003
	23005	Destruction 5	23002	1003	1003
	24001	LaserFire	24001	1003	1003
	25001	MG 1	25001	1003	1003
	25002	MG 2	25002	1003	1003
	25003	MG 3	25003	1003	1003
	25004	MG 4	25004	1003	1003
	25005	MG 5	25005	1003	1003
	25006	MG 6	25006	1003	1003
	25007	MG 7	25007	1003	1003
	25008	MG 8	25008	1003	1003
	25009	MG 9	25009	1003	1003
	25010	MG 10	25010	1003	1003
	25011	MG 11	25011	1003	1003
	25012	MG 12	25012	1003	1003
	25013	MG 13	25013	1003	1003
	25014	MG 14	25014	1003	1003
	26001	Rocket Tower Shoot	26001	1003	1003
	27001	Super Tower Shot 1	27001	1003	1003
	27002	Super Tower Shot 2	27002	1003	1003
	27003	Super Tower Shot 3	27003	1003	1003
	27004	Super Tower Shot 4	27004	1003	1003
	27005	Super Tower Shot 5	27005	1003	1003
	27006	Super Tower Shot 6	27006	1003	1003
	27007	Super Tower Shot 7	27007	1003	1003
	30001	TD Currency	30001	1003	1003
	30002	TD Defeat	30002	1003	1003
	30003	TD EMP Idle	30003	1003	1003
	30004	TD Tower Sell	30004	1003	1003
	30005	TD Tower Upgrade	30005	1003	1003
	30006	TD Victory	30006	1003	1003
	30007	ui_sound_back	30007	1002	1002
	30008	ui_sound_forward	30008	1002	1002
